Name,Type,Subtype,Effect,Red,Blue,Green,Colorless,Power,Writer,Artist,Edition,ID,Lore
"Crow Fledgling",Being,Sun,"On Enter: Look at the top 3 cards of your deck. You may put a Sun from among them into your hand. Put the rest back in any order.",0,0,0,0,1,Chinese,Qwen3,Alpha 0.2.0,SUN001,"The young golden crows perched in the Fusang tree at the eastern sea, waiting for their turn to carry daylight across the sky."
"Golden Crow",Being,Sun,"On Enter: If there are 2+ Suns in play, banish a being with 1 Power at this location. Ongoing: Beings here cannot be returned to hand by opponent effects.",0,0,0,1,2,Chinese,Qwen3,Alpha 0.2.0,SUN002,"Each sun was a three-legged golden crow, carried in a jade chariot. For ages they rose one at a time. Then, one dawn, all ten rose together."
"Dawn Sun",Being,Sun,"On Enter: Draw a card. Ongoing: Beings at this location cannot be banished by Suns.",0,1,1,0,2,Chinese,Qwen3,Alpha 0.2.0,SUN003,"The first sun that rose was gentle. No one feared it — the world had known it all its life. By the third rising, the harvests were already failing."
"Scorching Sun",Being,Sun,"On Enter: If there are 3+ Suns in play, banish a being with 2 or less Power at this location. Ongoing: Your Suns at this location have +1 Power.",1,0,0,0,3,Chinese,Qwen3,Alpha 0.2.0,SUN004,"Rivers dried to cracked mud. Trees burst into flame where they stood. The ten suns did not notice. They had only ever known brightness."
"Twilight Sun",Being,Sun,"On Enter: Move a Sun from any location to this location. While on top: If there are 3+ Suns in play, your Suns here cannot be banished.",1,0,1,0,3,Chinese,Qwen3,Alpha 0.2.0,SUN005,"When the last sun finally set, the sky held the crimson memory of the others. The night that followed was the first the earth had known in weeks."
"Eclipse Sun",Being,Sun,"On Enter: Banish a Sun you control. If you do, draw 2 cards and each opponent discards a card.",0,0,0,2,1,Chinese,Qwen3,Alpha 0.2.0,SUN006,"When Houyi shot down the ninth sun, a great shadow passed over the land. For a moment, the people forgot to grieve."
"Blazing Noon",Being,Sun,"On Enter: If there are 3+ Suns in play, banish all beings with 1 Power at any location. Ongoing: Your Suns here cannot be moved by opponent effects.",1,0,0,1,4,Chinese,Qwen3,Alpha 0.2.0,SUN007,"At noon, the ten suns clustered at the zenith. The sky turned white. Even the stone mountains cracked open with the heat."
"Storm Sun",Being,Sun,"On Enter: If there are 4+ Suns in play, banish all beings with 2 or less Power at this location. Ongoing: Your Suns at this location have +1 Power.",2,0,0,1,4,Chinese,Qwen3,Alpha 0.2.0,SUN008,"The great rivers retreated from their banks. The sea itself began to boil at the edges. Heaven watched, and said nothing."
"Jade Rabbit",Being,Spirit,"On Enter: Draw a card. While on top: Your Deities at this location cannot be banished.",0,1,0,0,1,Chinese,Qwen3,Alpha 0.2.0,SUN009,"Chang'e, alone on the cold moon, keeps only one companion — the white rabbit who grinds the herb of immortality under the pale winter light."
"Sun Charioteer",Being,Human,"On Enter: Move up to 2 Suns to any locations. While on top: Your Suns at this location have +1 Power.",1,0,0,2,3,Chinese,Milo,Alpha 0.2.0,SUN010,"Xihe's charioteers had steered the solar carriages for ten thousand years without fault. On the day the suns rebelled, they could only follow."
"Xihe, Mother of the Suns",Being,Deity,"On Enter: Return up to 2 Suns from your graveyard to your hand. While on top: At the start of your turn, draw a card if you control 3+ Suns.",0,0,1,2,4,Chinese,Qwen3,Alpha 0.2.0,SUN011,"Every morning she bathed her children in the sweet spring at the Fusang tree and sent them one by one across the sky. She never imagined they might disobey."
"Di Jun, Father of the Suns",Being,Deity,"On Enter: Put up to 3 Suns from your deck into play at any locations. While on top: At the start of your turn, if you control 5+ Suns, each opponent banishes one of their beings.",0,0,0,3,5,Chinese,Qwen3,Alpha 0.2.0,SUN012,"The Jade Emperor watched from his heavenly palace as his children set the world ablaze. He sent Houyi to frighten them back — not to kill them."
"Chang'e, the Moon Goddess",Being,Deity,"On Enter: Banish up to 2 Suns you control. For each Sun banished this way, draw a card and each opponent banishes one of their beings.",0,2,1,0,3,Chinese,Qwen3,Alpha 0.2.0,SUN013,"She stole the elixir of immortality from Houyi and drank it all. Weightless, she rose to the moon. She has not returned."
"Solar Drought",Structure,Natural Disaster,"On Enter: Put this at a location you choose. While here: At the start of your turn, if there are 4+ Suns in play, each opponent must return a being from this location to their hand.",1,0,0,0,0,Chinese,Qwen3,Alpha 0.2.0,SUN014,"The crops failed in the first week. The lakes turned to salt flats in the second. By the third, people had stopped counting days and started counting the dead."
"Houyi, the Divine Archer",Being,Legend,"On Enter: Banish any number of Suns at any locations. Then banish all beings at all locations with Power equal to or less than the number of Suns banished this way.",2,1,0,2,6,Chinese,Qwen3,Alpha 0.2.0,SUN015,"He drew the bowstring nine times. Nine golden crows fell from the sky in flames. Di Jun, grief-stricken, stripped him of his immortality. The world was saved. Houyi was not."
