Name,Type,Subtype,Effect,Red,Blue,Green,Colorless,Power,Writer,Artist,Edition,ID,Anecdote
"Nibelung Vassals",Being,"Human, Soldier","",0,0,0,1,2,Middle High German,ZImageTurbo,Alpha 0.3.0,,"'A thousand knights of the Nibelung land followed him, bold and well-clad; never did a hero bring a prouder following.'"
"Chaplain in the Rhine",Being,"Human, Priest","Immortal.",0,0,0,1,1,Middle High German,ZImageTurbo,Alpha 0.3.0,,"'Hagen hurled the chaplain overboard to test the water-sprites' prophecy. The priest swam back to shore — and Hagen knew that not one of them would return.'"
"Dankwart, the Marshal",Being,"Human, Warrior","On enter: If a friendly being was destroyed this turn, draw two cards.",0,0,0,1,2,Middle High German,ZImageTurbo,Alpha 0.3.0,,"'Blood-spattered from the stair, Dankwart burst into the feast: You sit too long at table, brother. The dead are asking for you.'"
"Alberich the Dwarf",Being,"Dwarf, Guardian","On enter: Draw 'The Tarnkappe' or 'The Hoard of the Nibelungs' from your deck.",0,0,0,2,3,Middle High German,ZImageTurbo,Alpha 0.3.0,,"'The mighty dwarf guarded the hoard beneath the mountain until Siegfried wrestled the cloak from him; thereafter he served the hero.'"
"The Tarnkappe",Artefact,"Cloak","While on top: Your beings at this location cannot be targeted by enemy card effects.",0,0,0,2,0,Middle High German,ZImageTurbo,Alpha 0.3.0,,"'The cloak of darkness gave him the strength of twelve men and hid him from every eye. Unseen, he won Brunhild's games for Gunther.'"
"Gunther, King of Burgundy",Being,"Human, King","While on top: Gunther has +3 Power if 'Siegfried, the Dragon-Slayer' is at this location.",0,0,0,2,3,Middle High German,ZImageTurbo,Alpha 0.3.0,,"'The king raised his arms as though he strained — but it was the unseen Siegfried who threw the stone and leapt beyond it.'"
"Rüdiger of Bechelaren",Being,"Human, Knight","On enter: Each opponent draws a card. You draw two cards.",0,0,0,3,4,Middle High German,ZImageTurbo,Alpha 0.3.0,,"'The kindly margrave gave gifts to every guest — and at the last, gave his own shield to the man he was sworn to kill.'"
"Volker, the Fiddler",Being,"Human, Minstrel","While on top: Each opponent can play at most one being at this location each turn.",0,0,0,3,4,Middle High German,ZImageTurbo,Alpha 0.3.0,,"'By day his fiddle-bow made sweet music; by night at the door it was edged with steel, and the Huns feared his tune.'"
"Hagen of Tronje",Being,"Human, Warrior","On enter: You may destroy a friendly being. If you do, draw two cards.",0,0,0,3,5,Middle High German,ZImageTurbo,Alpha 0.3.0,,"'On the hero's garment, between the shoulder-blades, was sewn a little cross of silk. Kriemhild had marked the place herself — for his protection, she believed.'"
"Kriemhild, the Avenger",Being,"Human, Queen","Kriemhild's power is equal to 2 + the number of humans in your underworld.",0,0,0,3,2+,Middle High German,ZImageTurbo,Alpha 0.3.0,,"'She wept for Siegfried thirteen years; then she married the king of the Huns, and her mourning became a plan.'"
"Brunhild, Queen of Iceland",Being,"Human, Queen, Warrior","Cannot be played unless an enemy being with Power [4] or more is at this location.",0,0,0,3,7,Middle High German,ZImageTurbo,Alpha 0.3.0,,"'Whoever would woo her must win three games — or lose his head. Twelve men groaned under the weight of her spear.'"
"Burgundian Knights",Being,"Human, Knight","",0,0,0,3,6,Middle High German,ZImageTurbo,Alpha 0.3.0,,"'A thousand and sixty knights rode with the kings to Etzel's land; not one of them came home again.'"
"Siegfried, the Dragon-Slayer",Being,"Human, Hero","Siegfried is immortal unless 'Hagen of Tronje' is at this location.",0,0,0,4,7,Middle High German,ZImageTurbo,Alpha 0.3.0,,"'He bathed in the dragon's blood and no blade could bite him — save in one place, where a linden leaf had fallen between his shoulders.'"
"Etzel, King of the Huns",Being,"Human, King","",0,0,0,4,8,Middle High German,ZImageTurbo,Alpha 0.3.0,,"'The great king watched his hall burn around his guests, and could not say whether his grief or his wrath was greater.'"
"The Hoard of the Nibelungs",Artefact,"Treasure","While on top: At the start of your turn, get an extra mana crystal.",0,0,0,5,0,Middle High German,ZImageTurbo,Alpha 0.3.0,,"'Twelve wagons in four days and nights could scarcely carry it. Hagen sank it all in the Rhine, and the two who knew the place kept silence forever.'"
