Name,Type,Subtype,Effect,Red,Blue,Green,Colorless,Power,Writer,Artist,Edition,ID,Anecdote
"Sita",Being,"Human, Queen","On enter: Move this card to the opponent's side of this location. If a friendly hero is at this location at the end of your turn, move Sita back to your side and draw two cards.",0,0,0,1,3,Sanskrit,ZImageTurbo,Alpha 0.3.0,,"'The ten-headed king carried her through the sky in his chariot. She dropped her jewels to the earth below, one by one, as a trail.'"
"Jatayu, the Vulture King",Being,"Bird, King","On destruction: Draw two cards.",0,0,0,1,2,Sanskrit,ZImageTurbo,Alpha 0.3.0,,"'The old eagle rose against the flying chariot and broke its wings — and fell. With his last breath he told Rama where she had been taken.'"
"Vanara Scouts",Being,"Vanara, Soldier","On enter: Draw 'Hanuman, Son of the Wind' from your deck.",0,0,0,1,2,Sanskrit,ZImageTurbo,Alpha 0.3.0,,"'The monkey-host searched the four quarters of the earth. Only the south remained — and the sea.'"
"The Golden Deer",Being,"Illusion, Beast","On enter: Move an enemy hero at this location to another location.",0,0,0,2,1,Sanskrit,ZImageTurbo,Alpha 0.3.0,,"'No deer like it had ever walked the forest, golden-hided and silver-spotted. Catch it for me, said Sita. It was Maricha, and it was a trap.'"
"Vibhishana, the Righteous Brother",Being,"Demon, Sage","On enter: If an opponent has a demon in play, draw two cards.",0,0,0,2,3,Sanskrit,ZImageTurbo,Alpha 0.3.0,,"'He counselled Ravana to return the stolen queen, and was kicked from the council. So he crossed the sea and knelt before Rama.'"
"Vanara Host",Being,"Vanara, Soldier","",0,0,0,2,4,Sanskrit,ZImageTurbo,Alpha 0.3.0,,"'Bears and monkeys beyond counting tore up trees and mountains for their weapons and roared at the sea.'"
"Rama Setu, the Floating Bridge",Artefact,"Structure","While on top: Once per turn, you may move a friendly being from another location to this location.",0,0,0,2,0,Sanskrit,ZImageTurbo,Alpha 0.3.0,,"'They wrote his name on the stones, and the stones floated. In five days the sea was crossed.'"
"Lakshmana, the Devoted",Being,"Human, Hero","While on top: Enemy card effects cannot move or return your beings at this location.",0,0,0,2,4,Sanskrit,ZImageTurbo,Alpha 0.3.0,,"'He drew a line around the hut: Stay within it, and no power of the three worlds can touch you. She crossed it.'"
"Sugriva, the Monkey King",Being,"Vanara, King","On enter: You may play another Vanara from your hand for free.",0,0,0,3,4,Sanskrit,ZImageTurbo,Alpha 0.3.0,,"'When Sugriva roared from the mountain, the whole monkey nation came — from the caves, from the forests, from the ends of the earth.'"
"Hanuman, Son of the Wind",Being,"Vanara, Hero","While on top: Once per turn, you may move Hanuman to another location. If 'Sita' is at that location, draw two cards.",0,0,0,3,5,Sanskrit,ZImageTurbo,Alpha 0.3.0,,"'He grew vast as a mountain, crouched, and leapt the hundred leagues of sea in a single bound, his shadow racing over the waves.'"
"Garuda, the Divine Eagle",Being,"Bird, Deity","On enter: Revive a hero.",0,0,0,3,4,Sanskrit,ZImageTurbo,Alpha 0.3.0,,"'The serpent-arrows bound the brothers fast. Then the sky darkened with wings, and every snake fled the field.'"
"Indrajit, the Unseen",Being,"Demon, Warrior","Enemy card effects cannot target Indrajit.",0,0,0,3,6,Sanskrit,ZImageTurbo,Alpha 0.3.0,,"'Thrice he rose invisible into the clouds and rained arrows on the host. No eye could find him; no weapon could follow.'"
"Rama, the Exiled Prince",Being,"Human, Hero","On enter: For each opponent, destroy an enemy being at this location with Power [4] or less.",0,0,0,4,7,Sanskrit,ZImageTurbo,Alpha 0.3.0,,"'He strung the bow of Shiva that no other man could lift, and it broke with a sound like thunder.'"
"Kumbhakarna, the Sleeping Giant",Being,"Demon, Giant","On enter: Flip this card face-down; it has -6 Power. At the start of your turn, you may flip it face-up.",0,0,0,4,9,Sanskrit,ZImageTurbo,Alpha 0.3.0,,"'A thousand elephants walked over him and he did not stir. When at last he woke, he was hungry.'"
"Ravana, the Ten-Headed",Being,"Demon, King","On enter: Gain control of an enemy being with a cost of [2] or less at this location.",0,0,0,5,9,Sanskrit,ZImageTurbo,Alpha 0.3.0,,"'Ten heads, twenty arms, and a boon against gods and demons — but he did not think to ask for protection from men and monkeys.'"
